1blankname,1namedata,allegiance,alma_mater,alongside,alongside1,alongside2,alt,associated_acts,awards,background,battles,battles_label,birth_date,birth_name,birth_place,branch,burial_place,caps1,caps10,caps11,caps12,caps13,caps14,caps15,caps16,caps17,caps18,caps2,caps3,caps4,caps5,caps6,caps7,caps8,caps9,caption,children,club-update,clubnumber,clubs1,clubs10,clubs11,clubs12,clubs13,clubs14,clubs15,clubs16,clubs17,clubs18,clubs2,clubs3,clubs4,clubs5,clubs6,clubs7,clubs8,clubs9,commands,country,currentclub,death_date,death_place,deputy1,draws,fideid,full_name,fullname,genre,goals1,goals10,goals11,goals12,goals13,goals14,goals15,goals16,goals17,goals18,goals2,goals3,goals4,goals5,goals6,goals7,goals8,goals9,height,honorific_prefix,honorific_suffix,image,image_size,imagesize,influenced,influences,ko,label,laterwork,losses,managerclubs1,managerclubs2,managerclubs3,managerclubs4,managerclubs5,managerclubs6,managerclubs7,manageryears1,manageryears2,manageryears3,manageryears4,manageryears5,manageryears6,manageryears7,medaltemplates,memorials,module,monuments,movement,name,nationalcaps1,nationalcaps2,nationalcaps3,nationalcaps4,nationalcaps5,nationalgoals1,nationalgoals2,nationalgoals3,nationalgoals4,nationalgoals5,nationality,nationalteam-update,nationalteam1,nationalteam2,nationalteam3,nationalteam4,nationalteam5,nationalyears1,nationalyears2,nationalyears3,nationalyears4,nationalyears5,native_name,native_name_lang,nickname,no contests,ntupdate,occupation,office,office1,office3,order,origin,otherparty,party,pcupdate,peakranking,peakrating,placeofburial,placeofburial_coordinates,placeofburial_label,position,predecessor,predecessor1,predecessor2,predecessor3,president,president1,primeminister,primeminister1,primeminister2,rank,reach,realname,reign,reign1,reign2,reign3,relations,residence,resting_place,servicenumber,serviceyears,signature,spouse,spouse-type,spouses,style,succession,succession1,succession2,succession3,successor,successor1,successor2,successor3,successor5,term_end,term_end1,term_end2,term_end3,term_start,term_start1,term_start2,term_start3,title,total,totalcaps,totalgoals,unit,upright,website,weight,wins,years1,years10,years11,years12,years13,years14,years15,years16,years17,years18,years2,years3,years4,years5,years6,years7,years8,years9,years_active,youthclubs1,youthclubs2,youthclubs3,youthyears1,youthyears2,youthyears3,youthyears4
,,,,,,,,,{{unbulleted list | [[Lenin Komsomol Prize]] {{small|(1967)}} | [[State Hamza Prize]] {{small|(1983)}} | [[People's Poet of the Uzbek SSR]] {{small|(1987)}} | [[Hero of Uzbekistan]] {{small|(1999)}} }},,,,{{Birth date|mf= yes|1936|12|28}},,"[[Oltiariq District]], [[Fergana Region]] <br /> [[Uzbek Soviet Socialist Republic]]",,,,,,,,,,,,,,,,,,,,,Erkin Vohidov in 2006,,,,,,,,,,,,,,,,,,,,,,,,,"{{Death-date and age|May 30, 2016|December 28, 1936}}","[[Tashkent, Uzbekistan]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,Erkin Vohidov 6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erkin Vohidov<br>Эркин Воҳидов,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poet, playwright, literary translator, statesman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,{{unbulleted list |People's Poet of the Uzbek SSR {{small|(1971)}} | State Berdaq Prize {{small|(1977)}} |[[State Hamza Prize]] {{small|(1979)}} |National Order of Merit {{small|(2001)}} }},,,,{{birth date|mf=yes|1910|5|30}},Mirtemir Umarbekovich Tursunov,"Village Ikan, [[Turkistan (city)|Turkistan]], [[Russian Turkestan]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,January 1978 (aged 67),"[[Tashkent]], [[Uzbek SSR]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirtemir,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Poet]] and literary [[translator]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|1986|5|10|df=yes}},,"[[Tashkent]], [[Uzbek SSR]], [[Soviet Union]]",,,51,,,,,,,,,,16,30,53,168,27,35,,,,,,23,[[Sogdiana Jizzakh]],,,,,,,,,,[[Navbahor Namangan|Navbahor]],[[Sogdiana Jizzakh]],[[FK Andijan|Andijan]],[[FC Bunyodkor|Bunyodkor]],[[FC Pakhtakor|Pakhtakor]],[[FC AGMK|AGMK]],,,,,[[FC AGMK|AGMK]],,,,,,,Akmal Shorakhmedov,,1,,,,,,,,,,0,3,0,7,0,0,,,{{height|m=1.81}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akmal Shorakhmedov,34,,,,,0,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,2010&ndash;,,,,,,,,,"21:14, 9 May 2019 (UTC) }}",,,,,,,,,26 October 2020,,,,,,[[Defender (association football)|Right back]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005&ndash;2006,,,,,,,,,,2007,2008,2009&ndash;2010,2011–2017,2018,2019–,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|df=yes|1987|11|25}},,"[[Namangan]], [[Uzbek Soviet Socialist Republic|Uzbek SSR]], [[Soviet Union]]",,,86,,,,,,,,,,22,64,67,64,5,7,,,Akhmedov with [[Uzbekistan national football team|Uzbekistan]] in 2019,,,,[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],,,,,,,,,,→ [[FC Anzhi Makhachkala|Anzhi Makhachkala]] (loan),[[FC Anzhi Makhachkala|Anzhi Makhachkala]],[[FC Krasnodar|Krasnodar]],[[Shanghai SIPG F.C.|Shanghai SIPG]],→ [[Tianjin TEDA F.C.|Tianjin TEDA]] (loan),[[Cangzhou Mighty Lions F.C.|Cangzhou Mighty Lions]],,,,,,,,,,,,Odil Alimzhanovich Akhmedov,,35,,,,,,,,,,0,3,5,9,0,0,,,1.80 m<ref>{{Cite web |title=Odil Akhmedov. FC Krasnodar Official site |url=https://fckrasnodar.ru/en/team/squad/player/?person_id=55945 |access-date=2025-07-29 |website=fckrasnodar.ru}}</ref>,,,Akhmedov with (National team) in 2019 (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odil Akhmedov <br>{{small|Одил Ахмедов}},108,,,,,21,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,2007–2021,,,,,,,,,15 June 2021 }},,,,,,,,,26 December 2021,,,,,,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,52,,,,,,2006–2011,,,,,,,,,,2011,2011–2014,2014–2017,2017–2021,2020,2021,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|df=yes|1978|11|28}},,"[[Bukhoro]], [[Uzbek SSR]], [[Soviet Union]]",,,80,27,29,8,70,9,2,,,,7,20,7,3,11,111,22,12,,,,,[[FK Buxoro]],[[FC Tobol|Tobol]],[[FC Zhetysu|Zhetysu]],[[Dubai Club]],[[FC Irtysh Pavlodar|Irtysh Pavlodar]],[[FK Buxoro]],[[Navbahor Namangan]],,,,[[PFC CSKA Moscow|CSKA Moscow]],[[FC Torpedo-ZIL Moscow|Torpedo-ZIL Moscow]],[[FK Buxoro]],[[FK Andijan]],[[FC Neftekhimik Nizhnekamsk|Neftekhimik Nizhnekamsk]],[[FC Tobol|Tobol]],[[FC Bunyodkor|Bunyodkor]],→   [[FK Samarqand-Dinamo]] (loan),,,[[FC Bukhara|Bukhara]] (Manager),,,,,,,,,29,16,18,0,22,3,0,,,,0,0,4,1,4,55,8,4,1.83 m,,,,,,,,,,,,[[FC Bukhara|Bukhara]],[[FC Sogdiana Jizzakh|Sogdiana Jizzakh]],[[FC Bukhara|Bukhara]],,,,,2017–2018,2019–2022,2023–,,,,,,,,,,Ulugbek Bakayev,53,,,,,14,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,2001–2014,,,,,,,,,}},,,,,,,,,,,,,,,[[Forward (association football)|Forward]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997–2000,2010,2011,2011,2012–2014,2014,2015,,,,2001,2001–2002,2003,2003,2003,2004–2007,2008–2009,2009,,,,,,,,
,,,,,,,,,,,,,{{Birth date and age|2002|12|28}}<ref>[https://globalsportsarchive.com/people/soccer/alibek-davronov/347304/ Player Profil globalsportsarchive.com]</ref>,,"[[Qarshi]], [[Uzbekistan]]",,,66,,,,,,,,,,,,,,,,,,,,,2,[[FC Nasaf|Nasaf]],,,,,,,,,,,,,,,,,,,,[[FC Nasaf|Nasaf]],,,,,,,Alibek Faxriddin o'g'li Davronov,,6,,,,,,,,,,,,,,,,,,1.83 m,,,,,,,,,,,,,,,,,,,,,,,,,,{{MedalSport|Men's [[Association football|football]]}} {{Medal|Country|{{Fb|UZB}}}} {{Medal|Competition|[[CAFA Nations Cup]]}} {{Medal|W|[[2025 CAFA Nations Cup|2025 Tajikistan–Uzbekistan]]|[[2025 CAFA Nations Cup squads#Uzbekistan|Team]]}} {{Medal|Competition|[[Asian Games]]}} {{Medal|Bronze|[[2022 Asian Games|2022 Hangzhou]]|[[Football at the 2022 Asian Games – Men|Team]]}} {{Medal|Competition|[[AFC U-23 Asian Cup]]}} {{Medal|S|[[2024 AFC U-23 Asian Cup|2024 Qatar]]|[[2024 AFC U-23 Asian Cup squads#Uzbekistan|Team]]}} }},,,,,Alibek Davronov,3,11,2,,,0,1,0,,,,,[[Uzbekistan national under-20 football team|Uzbekistan U19]],[[Uzbekistan national under-23 football team|Uzbekistan U23]],[[Uzbekistan national football team|Uzbekistan]],,,2019,2022–,2022–,,,,,,,17 June 2023 (UTC),,,,,,,,,10 August 2025,,,,,,[[Defender (association football)|Defender]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021–,,,,,,,,,,,,,,,,,,,[[FC Nasaf|Nasaf]],,,,,,
,,,,,,,,,,solo_singer,,,{{Birth date and age|df=yes|1976|12|23}},,,,,,,,,,,,,,,,,,,,,,,Sevara Nazarkhan (2006),,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and age|YYYY|MM|DD|YYYY|MM|DD}},,,,,,,[[Uzbek music]],,,,,,,,,,,,,,,,,,,,,,Sevara Nazarkhan Realworld Party 2006 (cropped).jpg,,,,,,"[[Real World Records]], Sevaramusic",,,,,,,,,,,,,,,,,,,,,,Sevara Nazarkhan,,,,,,,,,,,,,,,,,,,,,,,Sevara Nazarxonova Anvarjonovna,,,,,"Singer, songwriter, musician",,,,,"[[Asaka, Uzbekistan|Asaka]], [[Uzbek SSR]], [[USSR]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{url|www.sevaramusic.com}} }},,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{Birth date and age|df=y|1986|10|21}},,"[[Tashkent]], [[Uzbek SSR]], [[USSR]]",,,,,,,,,,,,,,,,,,,,,Munisa in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{flatlist| *[[Pop music|Pop]] *[[Uzbek music]] }},,,,,,,,,,,,,,,,,,,,,,Munisa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Munisa Rizayeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|mf=yes|1963|12|12}},Yulduz Ibrahimovna Usmonova,"{{nowrap|[[Margilan]], [[Uzbek Soviet Socialist Republic|Uzbek SSR]], [[Soviet Union|USSR]]}}",,,,,,,,,,,,,,,,,,,,,"Yulduz Usmonova presenting her new program in Dushanbe Amphitheater, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File:Yulduz Ibragimovna Usmonova.jpg,225px,,,,,,,,,,,,,,,,,,,,,,,,,,,Yulduz Usmonova,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{flatlist| *Singer *actress *song writer composer }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,30 January 1986,,"[[Panjakent]], [[Tajik SSR]], [[Soviet Union]] (present [[Tajikistan]])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folk,,,,,,,,,,,,,,,,,,,,,,Нигина Амонқулова.JPG,,,,,,Qiam Entertainment }},,,,,,,,,,,,,,,,,,,,,,Nigina Amonkulova,,,,,,,,,,,,,,,,,,,,,,,Нигина Амонқулова,tj,,,,Singer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008–present,,,,,,,
,,Soviet Union<br />Uzbekistan,,,,,,,,,,,{{birth date and age|1944|06|22|df=y}},,"[[Shirabad, Uzbekistan|Shirabad]], [[Surxondaryo Region]], [[Uzbek SSR]], [[USSR]]",[[File:Emblema KGB.svg|17px]] [[KGB]]<br /><small>(1970–1991)</small><br /> [[National Security Service (Uzbekistan)|National Security Service]]<br /><small>(1991–2018)</small>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Security Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250px,,,,,,,,,,,,,,,,,,,,,,,,}},,,Rustam Inoyatov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<!-- {{Coord|LAT|LONG|display=inline,title}} -->",,,,,,,,,,,,[[Colonel general]],,,,,,,,,,<!--Do not use data from primary sources such as service records.-->,1970–2018,,<!-- Add spouse if reliably sourced -->,,,,,,,,,,,,,,,,,,,,,,,,,,,<!-- {{URL|example.com}} -->,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Babur,,,,,,{{Birth date|1483|2|14|df=y}},,"[[Andijan]], [[Timurid Empire]]",,"[[Gardens of Babur]], [[Kabul]], Afghanistan",,,,,,,,,,,,,,,,,,,"Portrait of Babur in the ''[[:Commons:Category:Late Shah Jahan Album|Late Shah Jahan Album]]'', painted {{Circa|1640}}. Smithsonian Collections.<ref>{{cite web |title=Babur and Humayun with Courtiers, from the Late Shah Jahan Album |url=https://asia-archive.si.edu/object/S1986.401/ |website=Smithsonian's National Museum of Asian Art|quote=The first Mughal emperor, Babur, who reigned from 1526 to 1530, is shown seated on the right with his son and successor, Humayun.}}</ref>",,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and age|df=yes|1530|12|26|1483|2|14}},"[[Agra]], [[Mughal Empire]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,<!--- Do not change this lead image: it was selected by a consensus of Wikipedia editors through an [[WP:RfC]] on 7 August 2025 (RfC link: https://en.wikipedia.org/w/index.php?title=Talk:Babur&diff=prev&oldid=1304723240 ) ---> Humayun and Babur (Late Shah Jahan Album) Babur detail.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position established [[Ibrahim Khan Lodi|Ibrahim Lodi]] (as [[List of sultans of Delhi|Sultan of Delhi]]),Mukin Begh,[[Umar Shaikh Mirza II]],[[Sultan Baysonqor Mirza bin Mahmud Mirza|Baysonqor Mirza]],,,,,,,,,{{nowrap|21 April 1526&nbsp;– 26 December 1530}},October 1504 – 21 April 1526,10 June 1494 – February 1497,November 1496 – February 1497,,,,,,,{{Marriage|[[Maham Begum]]|1506}},Consort,{{plainlist| * {{Marriage|[[Aisha Sultan Begum]]|August 1499|1503|end=divorced}} * {{Marriage|[[Zainab Sultan Begum]]|1504|1506-07|end=died}} * {{Marriage|[[Masuma Sultan Begum]]|1507|1509|end=died}} * {{Marriage|[[Bibi Mubarika]]|30 January 1519}} }},,[[List of emperors of the Mughal Empire|Mughal Emperor]] ([[Padishah]]),[[Timurid Empire#History|Emir of Kabul]],[[Principality of Fergana|Emir of Fergana]],[[Timurid Empire#History|Emir of Samarkand]],[[Humayun]],''Himself as the [[List of emperors of the Mughal Empire|Mughal Emperor]]'',[[Jahangir Mirza II]],[[Sultan Ali bin Mahmud Mirza|Ali Mirza]],,,,,,,,,,[[Ghazi (warrior)|Ghazi]]<ref>{{cite book |last=Dale |first=Stephen F. |title=Babur |year=2018 |page=154}}</ref>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,{{unbulleted list |Alisher Navoiy State Prize {{small|(1991)}} |Order of Independence {{small|(1994)}} }},,,,{{Birth date|mf=yes|1894|4|10}},,"[[Tashkent]], [[Russian Turkestan]]",,,,,,,,,,,,,,,,,,,,,An Uzbek stamp made in honor of Abdulla Qodiriy,,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and age|mf=yes|1938|10|4|1894|4|10}},"[[Tashkent]], [[Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stamps of Uzbekistan, 2004-07.jpg",,200px,,,,,,,,,,,,,,,,,,,,,,,,,,Abdulla Qodiriy,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Playwright, poet, writer, and literary translator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,{{unbulleted list |People's Poet of the Uzbek SSR {{small|(1971)}} | State Berdaq Prize {{small|(1977)}} |[[State Hamza Prize]] {{small|(1979)}} |National Order of Merit {{small|(2001)}} }},,,,{{birth date|mf=yes|1910|5|30}},Mirtemir Umarbekovich Tursunov,"Village Ikan, [[Turkistan (city)|Turkistan]], [[Russian Turkestan]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,January 1978 (aged 67),"[[Tashkent]], [[Uzbek SSR]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirtemir,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Poet]] and literary [[translator]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date|1942|1|17}},Cassius Marcellus Clay Jr.,"[[Louisville, Kentucky]], U.S.",,,,,,,,,,,,,,,,,,,,,Ali in 1967,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|2016|6|3|1942|1|17}},"[[Scottsdale, Arizona]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad Ali NYWTS.jpg <!--See talk page before changing image-->,,,,,,,,,,,,,,,,,,,,,,,,,,"{{plainlist| * [[Ali Mall]] * [[Muhammad Ali Boulevard]] * [[Muhammad Ali Center]] * [[Louisville Muhammad Ali International Airport]] * Muhammad Ali Statue in [[Lewiston, Maine]]<ref name=""shaedle"">{{cite web |url=https://www.sunjournal.com/2025/05/31/citys-new-guardian-statue-of-muhammad-ali-challenges-encourages-reflects-lewiston/ |title=Lewiston's new guardian: Muhammad Ali statue 'challenges,' 'encourages' and 'reflects' city |work=Sun Journal |last=Shaedle |first=Zoe |date=May 31, 2025 |access-date=June 5, 2025 |archive-date=June 2, 2025 |archive-url=https://web.archive.org/web/20250602125135/https://www.sunjournal.com/2025/05/31/citys-new-guardian-statue-of-muhammad-ali-challenges-encourages-reflects-lewiston/ |url-status=live }}</ref> }}",,<!-- defaults to article title when left blank -->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Cave Hill Cemetery]], Louisville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Soviet Union<br />Uzbekistan,,,,,,,,,,,{{birth date and age|1944|06|22|df=y}},,"[[Shirabad, Uzbekistan|Shirabad]], [[Surxondaryo Region]], [[Uzbek SSR]], [[USSR]]",[[File:Emblema KGB.svg|17px]] [[KGB]]<br /><small>(1970–1991)</small><br /> [[National Security Service (Uzbekistan)|National Security Service]]<br /><small>(1991–2018)</small>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Security Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250px,,,,,,,,,,,,,,,,,,,,,,,,}},,,Rustam Inoyatov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<!-- {{Coord|LAT|LONG|display=inline,title}} -->",,,,,,,,,,,,[[Colonel general]],,,,,,,,,,<!--Do not use data from primary sources such as service records.-->,1970–2018,,<!-- Add spouse if reliably sourced -->,,,,,,,,,,,,,,,,,,,,,,,,,,,<!-- {{URL|example.com}} -->,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|df=yes|1999|03|12}},,"[[Urgench]], Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,{{MedalSport | Men's [[amateur boxing]]}} {{MedalCountry| {{UZB}} }} {{MedalCompetition|[[AIBA World Boxing Championships|World Championships]]}} {{MedalSilver|[[2019 AIBA World Boxing Championships|2019 Yekaterinburg]]|[[2019 AIBA World Boxing Championships – Light heavyweight|Light heavyweight]]}} {{MedalCompetition|[[Asian Amateur Boxing Championships|Asian Championships]]}} {{MedalGold|[[2021 Asian Amateur Boxing Championships|2021 Dubai]]|Light heavyweight}} }},,,,,Dilshodbek Ruzmetov,,,,,,,,,,,Uzbek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Southpaw stance|Southpaw]],,,,,,,,,,,,,,,,,,,3,,,,,,[[Light-heavyweight]],3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{Birth date and age|df=yes|1989|7|18}},,[[Uzbekistan]],,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,[[FC AGMK|AGMK]],,,,,,,Abduqahhor Hojiakbarov,,,,,,,,,,,,,,,,,,,,{{height|m=1.75|precision=0}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abduqahhor Hojiakbarov,1,,,,,0,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,2012–,,,,,,,,,}},,,,,,,,,18 February 2019,,,,,,[[Defender (association football)|Defender]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007–2009 | clubs1 = [[FC Bunyodkor|Kuruvchi]]                     | caps1 = 3   | goals1 = 0,,,,,,,,,,2010–2011 | clubs2 = [[FC AGMK|Olmaliq]]                           | caps2 = 29  | goals2 = 1,2012–2013 | clubs3 = [[FC Bunyodkor|Kuruvchi]]                     | caps3 = 2   | goals3 = 0,2013      | clubs4 = [[FK Buxoro|Buxoro]]                          | caps4 = 12  | goals4 = 0,2014–     | clubs5 = [[FC AGMK|Olmaliq]]                           | caps5 = 103 | goals5 = 0,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|1991|6|14|df=y}},,"[[Jizzakh]], [[Uzbek SSR]], [[Soviet Union]]",,,3,7,7,4,,0,,,,,78,48,8,23,7,24,5,0,Rashidov with [[Qatar SC]] in 2020,,"21:29, 18 May 2023 (UTC)",11,[[Sogdiana Jizzakh]],[[Pakhtakor Tashkent FK|Pakhtakor]],[[Umm Salal SC|Umm Salal]],[[Pakhtakor Tashkent FK|Pakhtakor]],[[Dubai City F.C.|Dubai City]],[[PFC Navbahor Namangan|Navbahor]],,,,,[[FC Bunyodkor]],[[El Jaish SC|El Jaish]],[[Al Jazira Club|Al Jazira]],[[Lokomotiv Tashkent]],[[C.D. Nacional|Nacional]],[[Qatar SC]],[[Pakhtakor Tashkent FK|Pakhtakor]],[[Kuwait SC]],,,[[PFC Navbahor Namangan|Navbahor]],,,,,,Sardor Ikhtiyorovich Rashidov,,,0,1,0,0,,0,,,,,22,23,0,8,3,6,2,0,1.84 m,,,Rashidov Katar.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sardor Rashidov,48,,,,,12,,,,,,"21:29, 24 June 2022 (UTC) }}",[[Uzbekistan national football team|Uzbekistan]],,,,,2013–,,,,,,,,,,,,,,,,,,,,,,,,[[Winger (association football)|Winger]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007–2008,2022,2022–2023,2023–2024,2024,2024–,,,,,2009–2015,2015–2017,2017,2018,2019,2019–2020,2021,2021,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|df=yes|1987|11|25}},,"[[Namangan]], [[Uzbek Soviet Socialist Republic|Uzbek SSR]], [[Soviet Union]]",,,86,,,,,,,,,,22,64,67,64,5,7,,,Akhmedov with [[Uzbekistan national football team|Uzbekistan]] in 2019,,,,[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],,,,,,,,,,→ [[FC Anzhi Makhachkala|Anzhi Makhachkala]] (loan),[[FC Anzhi Makhachkala|Anzhi Makhachkala]],[[FC Krasnodar|Krasnodar]],[[Shanghai SIPG F.C.|Shanghai SIPG]],→ [[Tianjin TEDA F.C.|Tianjin TEDA]] (loan),[[Cangzhou Mighty Lions F.C.|Cangzhou Mighty Lions]],,,,,,,,,,,,Odil Alimzhanovich Akhmedov,,35,,,,,,,,,,0,3,5,9,0,0,,,1.80 m<ref>{{Cite web |title=Odil Akhmedov. FC Krasnodar Official site |url=https://fckrasnodar.ru/en/team/squad/player/?person_id=55945 |access-date=2025-07-29 |website=fckrasnodar.ru}}</ref>,,,Akhmedov with (National team) in 2019 (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odil Akhmedov <br>{{small|Одил Ахмедов}},108,,,,,21,,,,,,,[[Uzbekistan national football team|Uzbekistan]],,,,,2007–2021,,,,,,,,,15 June 2021 }},,,,,,,,,26 December 2021,,,,,,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,52,,,,,,2006–2011,,,,,,,,,,2011,2011–2014,2014–2017,2017–2021,2020,2021,,,,,,,,,,
,,,,,,,,,,,,,30 January 1986,,"[[Panjakent]], [[Tajik SSR]], [[Soviet Union]] (present [[Tajikistan]])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folk,,,,,,,,,,,,,,,,,,,,,,Нигина Амонқулова.JPG,,,,,,Qiam Entertainment }},,,,,,,,,,,,,,,,,,,,,,Nigina Amonkulova,,,,,,,,,,,,,,,,,,,,,,,Нигина Амонқулова,tj,,,,Singer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008–present,,,,,,,
