100s/50s1,1blankname,1blankname1,1blankname2,1blankname3,1blankname4,1blankname5,1blankname6,1namedata,1namedata1,1namedata2,1namedata3,1namedata4,1namedata5,1namedata6,2blankname,2namedata,[[dictator perpetuo]]           | 44 bc<ref>all offices and years thereof from {{harvnb|broughton|1952|p,access-date,allegiance,alma_mater,alongside7,alt,appointer1,appointer2,appointer3,appointer5,appointer6,appointer7,awards,bat avg1,batting,battles,beatified_by,beatified_date,best bowling1,birth_date,birth_name,birth_place,birthname,bowl avg1,bowling,branch,bullets,burial,burial_date,burial_place,cabinet,canonized_by,canonized_date,caption,catches/stumpings1,child,children,citizenship,class,club1,club2,club3,color,column1,columns,commands,consort,constituency10,constituency11,constituency12,constituency13,constituency14,constituency15,constituency2,constituency3,constituency4,constituency5,constituency6,constituency7,constituency8,constituency_mp5,constituency_mp6,cont,conviction_status,cor-type,cor-type1,coregency,coronation,coronation1,coronation2,country2,country3,country5,country6,criminal_charge,death_cause,death_date,death_manner,death_place,deliveries1,deputy,deputy1,deputy2,deputy3,deputy4,deputy5,deputy6,description,district1,district2,district3,district4,district5,district6,district7,dynasty,education,embed,father,feast_day,filename,firstminister2,firstminister4,firstminister5,fivefor1,footnotes,full name,governor2,governor3,governor4,governor6,governor7,height,himself (1959–1966){{efn|''[[de facto]]'' (self-appointed)<ref>{{cite book|last,honorific-prefix,honorific-suffix,honorific_prefix,honorific_suffix,horus,house,image,image_alt,image_size,image_upright,imagesize,issue,issue-link,issue-pipe,jr/sr1,jr/sr2,jr/sr3,jr/sr5,jr/sr7,known_for,last,leader1,leader3,leader4,leader8,leader9,lieutenant1,lieutenant2,lieutenant3,lieutenant4,majority2,majority3,majority4,majority6,matches1,mawards,military_blank1,military_data1,minister7,minister_from2,minister_from3,minister_from5,minister_from6,module,module2,module3,monarch,monarch1,monarch2,monarch3,monarch4,more,moretext,moretext1,mother,name,nationality,native_name,native_name_lang,nickname,nomen,occupation,office,office1,office10,office11,office12,office14,office15,office2,office21,office3,office4,office5,office6,office7,office8,office9,order,order1,order2,order3,order4,order5,order6,order7,order8,order9,otherparty,parents,parliament5,parliament6,party,patronage,pos,posthumous name,predecessor,predecessor1,predecessor10,predecessor11,predecessor12,predecessor13,predecessor14,predecessor2,predecessor3,predecessor4,predecessor5,predecessor6,predecessor7,predecessor8,predecessor9,premier,premier1,premier2,premier4,president,president1,president11,president2,president3,president4,president5,president6,president7,president8,primeminister,primeminister1,primeminister10,primeminister2,primeminister3,primeminister4,primeminister5,primeminister6,primeminister7,primeminister8,primeminister9,profession,quote,rank,reg-type,reg-type1,reg-type2,reg-type3,regent,regent1,regent2,regent3,regnal name,reign,reign-type1,reign1,reign2,reign3,reign4,relatives,religion,residence,resting_place,resting_place_coordinates,restingplace,role,runs1,serviceyears,signature,signature_alt,signature_size,source,spouse,spouse-type,spouses,state1,state2,state3,state4,state5,state6,state7,state_senate2,state_senate3,state_senate7,status,status10,status2,status4,status9,style,suboffice,suboffice1,suboffice10,suboffice11,suboffice12,suboffice13,suboffice14,suboffice15,suboffice16,suboffice17,suboffice18,suboffice19,suboffice2,suboffice20,suboffice3,suboffice4,suboffice5,suboffice6,suboffice7,suboffice8,suboffice9,subterm,subterm1,subterm10,subterm11,subterm12,subterm13,subterm14,subterm15,subterm16,subterm17,subterm18,subterm19,subterm2,subterm20,subterm3,subterm4,subterm5,subterm6,subterm7,subterm8,subterm9,succession,succession1,succession2,succession3,succession4,successor,successor1,successor10,successor11,successor12,successor13,successor14,successor2,successor3,successor4,successor5,successor6,successor7,successor8,successor9,temple name,tenfor1,term,term10,term11,term12,term13,term14,term15,term5,term6,term7,term9,term_end,term_end1,term_end10,term_end11,term_end12,term_end13,term_end14,term_end2,term_end22,term_end3,term_end4,term_end5,term_end6,term_end7,term_end8,term_end9,term_label,term_label1,term_label3,term_label4,term_label9,term_start,term_start1,term_start10,term_start11,term_start12,term_start13,term_start14,term_start2,term_start21,term_start22,term_start3,term_start4,term_start5,term_start6,term_start7,term_start8,term_start9,termlabel,termlabel3,termstart,title,title1,title4,title5,title6,title7,titles,titlestyle,top score1,trial,type,unit,venerated_in,vicepresident,vicepresident1,vicepresident2,vicepresident3,website,wickets1,year1,year2,year3,years_active,{{marriage|fleur cates|1981|1988|end,{{marriage|miriam weizmann|1972|1978|end,{{native name|ja| 明仁|italics,{{tlit|zh|[[tan yankai]]|i,{{tlit|zh|t. v. soong|i
,,,,,,,,,,,,,,,,,,,,,,"Head shot of Roosevelt, 62, who has graying hair and faces the camera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Official campaign portrait, 1944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FDR-1944-Campaign-Portrait (3x4 retouched, cropped).jpg <!-- SEE TALK PAGE -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franklin D. Roosevelt,,,,,,,President of the United States,,,,,,,,,,,,,,,,32nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * {{longitem|[[John Nance Garner]]<br />(1933–1941)}} * {{longitem|[[Henry A. Wallace]]<br />(1941–1945)}} * <!--Please stop linking his name-->{{longitem|Harry S. Truman<!--Please stop linking--><br />(Jan–Apr 1945)}} }},,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Official portrait of Harry S Truman as president of the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Official portrait, 1947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUMAN 58-766-06 (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harry S. Truman,,,,,,,President of the United States,,,,,,,,,,,,,,,,33rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 20, 1953",,,,,,,,,,,,,,,,,,,,,"April 12, 1945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{plainlist| * Vacant (1945–1949){{Efn|Truman was vice president under Franklin D. Roosevelt and became president upon Roosevelt's death on April 12, 1945. As this was prior to the adoption of the [[Twenty-fifth Amendment to the United States Constitution|Twenty-fifth Amendment]] in 1967, a vacancy in the office of vice president was not filled until the next election and inauguration.}} * [[Alben W. Barkley]] (1949–1953) }}",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Official portrait of Dwight D. Eisenhower as president of the United States,,,,,[[Franklin D. Roosevelt]],,,,,,,,,{{birth date|1890|10|14}},David Dwight Eisenhower,"[[Denison, Texas]], US",,,,[[United States Army]],,,,,,,,"Official portrait, 1959",,,{{hlist|Doud|[[John Eisenhower|John]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|1969|3|28|1890|10|14}},,"[[Washington, DC]], US",,,,[[Bernard Montgomery]],,[[J. Lawton Collins]],,"[[Arthur Tedder, 1st Baron Tedder|Arthur Tedder]]",,,,,,,,,,[[United States Military Academy]] ([[Bachelor of Science|BS]]),,,,,,,,,,,,,,,,,,,,,,,,"Dwight D. Eisenhower, official photo portrait, May 29, 1959 (cropped)(3).jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dwight D. Eisenhower,,,,"""Ike""<ref>{{cite web |title=The Eisenhowers |url=https://www.eisenhowerlibrary.gov/eisenhowers  |publisher=[[Dwight D. Eisenhower Presidential Library, Museum and Boyhood Home]] |access-date=October 1, 2021 |archive-url=https://web.archive.org/web/20210818155630/https://www.eisenhowerlibrary.gov/eisenhowers |archive-date=August 18, 2021 |url-status=live}}</ref> <!--Military service-->",,{{hlist|[[Military career of Dwight D. Eisenhower|Military officer]]|politician}},President of the United States,,,,,,,Supreme Allied Commander Europe,,President of Columbia University,16th [[Chief of Staff of the United States Army|Chief of Staff of the Army]],1st [[Military Governor]] of the [[American-occupied zone of Germany]],[[Supreme Headquarters Allied Expeditionary Force|Supreme Commander Allied Expeditionary Force]],,,,34th,,1st,13th,,,,,,,"[[Democratic Party (United States)|Democratic]] (1909)<ref>{{cite journal |last=Ferrell |first=Robert H. |title=Eisenhower Was a Democrat |journal=Kansas History |date=1990 |volume=13 |page=134 |url=http://npshistory.com/publications/eise/kh-v13n3-1990-1.pdf |access-date=June 2, 2024}}</ref>",,,,[[Republican Party (United States)|Republican]] (from 1952),,,,[[Harry S. Truman]],,,,,,,Position established,[[Nicholas Murray Butler]],[[George C. Marshall]],Position established,Position established,,,,,,,,,,,Harry S. Truman,,Harry S. Truman,Harry S. Truman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Eisenhower family]],,,"[[Dwight D. Eisenhower Presidential Library, Museum and Boyhood Home]]",,,,,"{{plainlist| * 1915–1953 * 1961–1969<ref name=post>{{cite web |url=http://www.eisenhower.utexas.edu/all_about_ike/post_presidential.html |publisher=The Eisenhower Presidential Library and Museum  |title=Post-presidential years |access-date=September 5, 2012 |url-status=dead |archive-url=https://web.archive.org/web/20131023053144/http://www.eisenhower.utexas.edu/all_about_ike/post_presidential.html |archive-date=October 23, 2013}}</ref> }}",Dwight Eisenhower Signature.svg,Cursive signature in ink,,,"{{marriage|[[Mamie Eisenhower|Mamie Doud]]|July 1, 1916}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[John F. Kennedy]],,,,,,,[[Matthew Ridgway]],[[Grayson L. Kirk]],[[Omar Bradley]],[[George S. Patton]] (acting),Position abolished,,,,,,,,,,,,,,,,,"January 20, 1961",,,,,,,"May 30, 1952",,"January 19, 1953","February 6, 1948","November 10, 1945","July 14, 1945",,,,,,,,,"January 20, 1953",,,,,,,"April 2, 1951",,,"June 7, 1948","November 19, 1945","May 8, 1945","December 24, 1943",,,,,,,,,,,,,,,,,,,,[[Richard Nixon]],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,President Kennedy smiling and sitting in the Oval Office,,,,,,,,,,,,,,{{birth date |1917|5|29}},John Fitzgerald Kennedy,"[[Brookline, Massachusetts]], U.S.",,,,,,,,,,,,"[[Oval Office]] portrait, 1963",,,"4, including [[Caroline Kennedy|Caroline]], [[John F. Kennedy Jr.|John&nbsp;Jr.]], and [[Patrick Bouvier Kennedy|Patrick]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Assassination of John F. Kennedy|Assassination by gunshot]],{{death date and age|1963|11|22|1917|5|29}},,"[[Dallas]], Texas, U.S.",,,,,,,,,,,{{ushr|MA|11|11th}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"John F. Kennedy, White House color photo portrait.jpg<!--DO NOT change without gaining talk page consensus-->",,,,,,,,United States Senator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John F. Kennedy,,,,,,,President of the United States,,,,,,,,,,,,,,,,35th,,,,,,,,,,,{{plainlist| * [[Joseph P. Kennedy Sr.]] * [[Rose Kennedy|Rose Fitzgerald]] }},,,[[Democratic Party (United States)|Democratic]],,,,[[Dwight D. Eisenhower]],[[Henry Cabot Lodge Jr.]],,,,,,[[James Michael Curley]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Arlington National Cemetery]],,,,,,,,,,"{{marriage|[[Jacqueline Kennedy Onassis|Jacqueline Bouvier]]|September 12, 1953|<!-- Omission per Template:Marriage instructions -->}}",,,[[Massachusetts]],Massachusetts<!-- [[MOS:REPEATLINK]] -->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Lyndon B. Johnson]],[[Benjamin A. Smith II]],,,,,,[[Tip O'Neill]],,,,,,,,,,,,,,,,,,,,,"November 22, 1963","December 22, 1960",,,,,,"January 3, 1953",,,,,,,,,,,,,,"January 20, 1961","January 3, 1953",,,,,,"January 3, 1947",,,,,,,,,,,,,,,,,,,,,,,,,,Lyndon B. Johnson,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Head shot of Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Official portrait, 1964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lyndon B. Johnson, photo portrait, color (3x4 cropped).jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lyndon B. Johnson,,,,,,,President of the United States,,,,,,,,,,,,,,,,36th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{plainlist| * Vacant (1963–1965){{efn|Johnson was vice president under John F. Kennedy and became president upon [[Assassination of John F. Kennedy|Kennedy's assassination]] on November 22, 1963. As this was prior to the adoption of the [[Twenty-fifth Amendment to the United States Constitution|Twenty-fifth Amendment]] in 1967, a vacancy in the office of vice president was not filled until the next ensuing election and inauguration.}} * [[Hubert Humphrey]] (1965–1969) }}",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Presidential portrait of Richard Nixon,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Official portrait, 1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Nixon presidential portrait (1).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Nixon,,,,,,,President of the United States,,,,,,,,,,,,,,,,37th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * {{longitem|[[Spiro Agnew]] {{nwr|(1969–1973)}}}} * {{longitem|Gerald Ford {{nwr|(1973–1974)}}}} }},,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Official portrait, 1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{ushr|MI|5|5th}},,,,,,,,,,,,,,,,,,,,,,,,,,,,Gerald Ford presidential portrait (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gerald Ford,,,,,,,President of the United States,Vice President of the United States,,,,,,,,,,,,,,,38th,40th,,,,,,,,,,,,,,,,,[[Richard Nixon]],[[Spiro Agnew]],,,,,,,,,[[Bartel J. Jonkman]],,,,,,,,,,Richard Nixon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Michigan]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Jimmy Carter]],Nelson Rockefeller,,,,,,,,,[[Richard Vander Veen]] {{collapsed infobox section begin,,,,,,,,,,,,,,,,,,"January 20, 1977","August 9, 1974",,,,,,,,,,"December 6, 1973",,,,,,,,,,"August 9, 1974","December 6, 1973",,,,,,,,,,,"January 3, 1949",,,,,,,,,,,,,,,border:1px dashed lightgrey; }},,,,,,[[Nelson Rockefeller]],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Head shot of Carter in a dark blue suit and smiling,,,,,,,,,,,,,,{{Birth date|1924|10|01}},James Earl Carter Jr.,"[[Plains, Georgia]], U.S.",,,,,,,,,,,,"Official portrait, 1977",,,"4, including [[Jack Carter (politician)|Jack]] and [[Amy Carter|Amy]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and age|2024|12|29|1924|10|01}},,"Plains, Georgia, U.S.",,,,,,,,,,,[[Georgia's 14th Senate district|14th]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Carter Official Portrait2 (3x4 cropped).jpg<!--Do not change without discussing-->,,,,,,,,,,,,,,,,,,,,Lester Maddox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Carter,,,,,,,President of the United States,Governor of Georgia,,,,,,,,,,,,,,,39th,76th,,,,,,,,,,{{plainlist| * [[James Earl Carter Sr.]] * [[Bessie Lillian Gordy]] }},,,[[Democratic Party (United States)|Democratic]],,,,[[Gerald Ford]],[[Lester Maddox]],,,,,,[[James M. Dykes]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Jimmy Carter House]], Plains",,,,,,,,,,"{{marriage|[[Rosalynn Smith]]|July 7, 1946|November 19, 2023|end=died}}",,,,,,,,,,Georgia State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Ronald Reagan]],[[George Busbee]],,,,,,[[Hugh Carter]],,,,,,,,,,,,,,,,,,,,,"January 20, 1981","January 14, 1975",,,,,,"January 9, 1967",,,,,,,,,,,,,,"January 20, 1977","January 12, 1971",,,,,,"January 14, 1963",,,,,,,,,,,,,,,,,,,,,,,,,,[[Walter Mondale]],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"White House portrait of Reagan smiling in front of the U.S. and U.S. president flags, wearing a dark blue suit jacket with a white shirt and burgundy necktie.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Official portrait, 1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<!-- DO NOT CHANGE this, see [[Talk:Ronald Reagan#Current consensus]], item 9. -->Official Portrait of President Reagan 1981.jpg",,,,,,,,,,,,,,,,,,,,"{{plainlist| * {{longitem|[[Robert Finch (American politician)|Robert Finch]]<br />(1967–1969)<ref>{{cite news |last=Oliver |first=Myrna |date=October 11, 1995 |title=Robert H. Finch, Lt. Gov. Under Reagan, Dies : Politics: Leader in California GOP was 70. He also served in Nixon's Cabinet and as President's special counselor and campaign manager. |url=https://www.latimes.com/archives/la-xpm-1995-10-11-mn-55826-story.html |newspaper=[[Los Angeles Times]] |archive-url=https://web.archive.org/web/20221226174756/https://www.latimes.com/archives/la-xpm-1995-10-11-mn-55826-story.html |archive-date=December 26, 2022 |access-date=April 4, 2020}}</ref>}} * {{longitem|[[Edwin Reinecke]]<br />(1969–1974)<ref>{{cite news |last=Chang |first=Cindy |date=December 25, 2016 |title=Ed Reinecke, who resigned as California's lieutenant governor after a perjury conviction, dies at 92 |url=https://www.latimes.com/local/lanow/la-me-reinecke-obit-20161225-story.html |newspaper=[[Los Angeles Times]] |archive-url=https://web.archive.org/web/20221226175029/https://www.latimes.com/local/lanow/la-me-reinecke-obit-20161225-story.html |archive-date=December 26, 2022 |access-date=April 4, 2020}}</ref>}} * {{longitem|[[John L. Harmer]]<br />(1974–1975)<ref>{{cite news |last=South |first=Garry |author-link=Garry South |date=May 21, 2018 |title=California's lieutenant governors rarely move up to the top job |url=https://www.sfchronicle.com/opinion/openforum/article/California-s-lieutenant-governors-rarely-move-12932482.php |newspaper=[[San Francisco Chronicle]] |archive-url=https://web.archive.org/web/20221226175111/https://www.sfchronicle.com/opinion/openforum/article/California-s-lieutenant-governors-rarely-move-12932482.php |archive-date=December 26, 2022 |access-date=April 4, 2020}}</ref>}} }}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronald Reagan,,,,,,,President of the United States,Governor of California,,,,,,,,,,,,,,,40th,33rd,,,,,,,,,,,,,,,,,[[Jimmy Carter]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[George H. W. Bush]],,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 20, 1989",,,,,,,,,,,,,,,,,,,,,"January 20, 1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George H. W. Bush,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Clinton's official presidential portrait, 1993",,,,,,,[[List of awards and honors received by Bill Clinton|Full list]],,,,,,,{{birth date and age|1946|8|19}},William Jefferson Blythe III,"[[Hope, Arkansas]], U.S.",,,,,,,,,,,,"Official portrait, 1993",,,[[Chelsea Clinton]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{ubl |[[Georgetown University]] ([[Bachelor of Science|BS]]) |[[University College, Oxford]] |[[Yale University]] ([[Juris Doctor|JD]])}}",,,,,,,,,,,,,,{{ubl |[[David Pryor]] |Joe Purcell (acting)}},,,,,,,,,,Bill Clinton.jpg,,,,,,,,,,,,,,,,,,,,,{{ubl |[[Winston Bryant]] |Jim Guy Tucker}},Joe Purcell,,,,,,,,,,,,,,,"{{Listen |pos=center |embed=yes |filename=Bill Clinton speaks on U.S. decision to join NATO forces in military airstrikes against Serbia.ogg |title=Clinton's voice |type=speech |description=Clinton on the U.S. decision to join [[NATO bombing of Yugoslavia|NATO airstrikes in Yugoslavia]].<br>Recorded March 24, 1999}} }}",,,,,,,,,,,,Bill Clinton,,,,,,,President of the United States,,,,,,,,,,,,,,,,42nd,,40th and 42nd [[List of governors of Arkansas|Governor of Arkansas]],,,,50th [[Attorney General of Arkansas]],,,,,{{ubl |[[William Jefferson Blythe Jr.]] |[[Virginia Clinton Kelley|Virginia Cassidy]]}},,,[[Democratic Party (United States)|Democratic]],,,,[[George H. W. Bush]],,,,,,,[[Frank D. White]],[[Joe Purcell]] (acting),,,Jim Guy Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Clinton family]],,,,,,,,,Signature of Bill Clinton.svg,William J Clinton signature.svg,,,"{{marriage|[[Hillary Clinton|Hillary Rodham]]|October 11, 1975}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[George W. Bush]],,,,,,,[[Jim Guy Tucker]],[[Frank D. White]],,,[[Steve Clark (Arkansas politician)|Steve Clark]],,,,,,,,,,,,,,,,,"January 20, 2001",,,,,,,"December 12, 1992",,"January 19, 1981",,,"January 9, 1979",,,,,,,,,"January 20, 1993",,,,,,,"January 11, 1983",,,"January 9, 1979",,,"January 3, 1977",,,,,,,,,,,,,,,,,,,,[[Al Gore]],,,,{{ubl |{{URL|clintonfoundation.org|Clinton Foundation}} |{{URL|clintonwhitehouse4.archives.gov|White House Archives}}}},,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,A 2003 presidential portrait of George W. Bush.,,,,,,,[[List of awards and honors received by George W. Bush|Full list]],,,,,,,{{birth date and age|1946|7|6}},George Walker Bush,"[[New Haven, Connecticut]], U.S.",,,,{{tree list}} * [[United States Air Force]] ** [[Texas Air National Guard]] ** [[Alabama Air National Guard]] {{tree list/end}},,,,,,,,"Official portrait, 2003",,,{{hlist|[[Barbara Bush (born 1981)|Barbara]]|[[Jenna Bush Hager|Jenna]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist}} * [[Yale University]] ([[Bachelor of Arts|BA]]) * [[Harvard Business School|Harvard University]] ([[Master of Business Administration|MBA]]) {{endplainlist}},,,,,,,,,,,,,,,,,,,,,,,,George-W-Bush.jpeg,,,,,,,,,,,,,,,,,,,,{{plainlist}} * [[Bob Bullock]] * [[Rick Perry]] {{endplainlist}},,,,,,,,,{{ublist|[[United States Aviator Badge|Air Force Pilot's Badge]]|[[Outstanding Unit Award]]|[[National Defense Service Medal]]}}{{citation needed|date=October 2021}},,,,,,,,"{{Listen|pos=center|embed=yes|filename=George W. Bush addresses the nation following the September 11th attacks.ogg|title=George W. Bush's voice|type=speech|description=George W. Bush addresses the nation following the [[September 11 attacks]].<br />Recorded September 11, 2001}} }}",,,,,,,,,,,,George W. Bush,,,,Dubya,,{{hlist|Politician|businessman|painter|author|military veteran}},President of the United States,Governor of Texas,,,,,,,,,,,,,,,43rd,46th,,,,,,,,,,{{plainlist}} * [[George H. W. Bush]] * [[Barbara Bush]] {{endplainlist}},,,[[Republican Party (United States)|Republican]],,,,[[Bill Clinton]],[[Ann Richards]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[First Lieutenant (United States)|First Lieutenant]],,,,,,,,,,,,,,,,[[Bush family]],,,,,,,,1968–1974,GeorgeWBush Signature.svg,Cursive signature in ink,,,"{{marriage|[[Laura Welch]]|November 5, 1977}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Barack Obama]],Rick Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 20, 2009","December 21, 2000",,,,,,,,,,,,,,,,,,,,"January 20, 2001","January 17, 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{ublist|[[147th Reconnaissance Wing]]|[[187th Fighter Wing]]}},,[[Dick Cheney]],,,,{{plainlist}} * {{URL|georgewbush.com|Official website}} * {{URL|georgewbushlibrary.smu.edu|Presidential Library}} * {{URL|bushcenter.org|Presidential Center}} * {{URL|georgewbush-whitehouse.archives.gov/index.html|White House Archives}} {{endplainlist}},,,,,,,,,,
